KO_ID	KO_name	KO_def	module_IDs	module_defs	pathway_IDs	pathway_defs
K00015	gyaR, GOR1	glyoxylate reductase			map00630; map01100; map01110; map01120	Glyoxylate and dicarboxylate metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments
K00016	LDH, ldh	L-lactate dehydrogenase			map00010; map00270; map00620; map00640; map01100; map01110; map01120; map04066; map04922; map05230	Glycolysis / Gluconeogenesis; Cysteine and methionine metabolism; Pyruvate metabolism; Propanoate metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; HIF-1 signaling pathway; Glucagon signaling pathway; Central carbon metabolism in cancer
K00018	hprA	glycerate dehydrogenase	M00346	Formaldehyde assimilation, serine pathway	map00260; map00630; map00680; map01100; map01110; map01120; map01200	Glycine, serine and threonine metabolism; Glyoxylate and dicarboxylate metabolism; Methane metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism
K00019	BDH, bdhA	3-hydroxybutyrate dehydrogenase	M00088	Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone	map00650; map01100	Butanoate metabolism; Metabolic pathways
K00020	HIBADH, mmsB	3-hydroxyisobutyrate dehydrogenase			map00280; map01100	Valine, leucine and isoleucine degradation; Metabolic pathways
K00021	HMGCR	hydroxymethylglutaryl-CoA reductase (NADPH)	M00095; M00849	C5 isoprenoid biosynthesis, mevalonate pathway; C5 isoprenoid biosynthesis, mevalonate pathway, archaea	map00900; map01100; map01110; map04152; map04976	Terpenoid backbone biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites; AMPK signaling pathway; Bile secretion
K00022	HADH	3-hydroxyacyl-CoA dehydrogenase	M00032; M00085; M00087	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA; Fatty acid elongation in mitochondria; beta-Oxidation	map00062; map00071; map00280; map00281; map00310; map00380; map00650; map00930; map01100; map01110; map01120; map01212	Fatty acid elongation; Fatty acid degradation; Valine, leucine and isoleucine degradation; Geraniol degradation; Lysine degradation; Tryptophan metabolism; Butanoate metabolism; Caprolactam degradation; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Fatty acid metabolism
K00023	phbB	acetoacetyl-CoA reductase	M00373	Ethylmalonyl pathway	map00630; map00650; map01100; map01120; map01200	Glyoxylate and dicarboxylate metabolism; Butanoate metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Carbon metabolism
K00024	mdh	malate dehydrogenase	M00009; M00011; M00012; M00168; M00173; M00346; M00374; M00620; M00740	Citrate cycle (TCA cycle, Krebs cycle); Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate; Glyoxylate cycle; CAM (Crassulacean acid metabolism), dark; Reductive citrate cycle (Arnon-Buchanan cycle); Formaldehyde assimilation, serine pathway; Dicarboxylate-hydroxybutyrate cycle; Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate; Methylaspartate cycle	map00020; map00270; map00620; map00630; map00680; map00710; map00720; map01100; map01110; map01120; map01200	Citrate cycle (TCA cycle); Cysteine and methionine metabolism; Pyruvate metabolism; Glyoxylate and dicarboxylate metabolism; Methane metabolism; Carbon fixation in photosynthetic organisms; Carbon fixation pathways in prokaryotes; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism
K00026	MDH2	malate dehydrogenase	M00009; M00011; M00012; M00168; M00171	Citrate cycle (TCA cycle, Krebs cycle); Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate; Glyoxylate cycle; CAM (Crassulacean acid metabolism), dark; C4-dicarboxylic acid cycle, NAD - malic enzyme type	map00020; map00270; map00620; map00630; map00710; map01100; map01110; map01120; map01200	Citrate cycle (TCA cycle); Cysteine and methionine metabolism; Pyruvate metabolism; Glyoxylate and dicarboxylate metabolism; Carbon fixation in photosynthetic organisms; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism
K00027	ME2, sfcA, maeA	malate dehydrogenase (oxaloacetate-decarboxylating)			map00620; map01200; map02020	Pyruvate metabolism; Carbon metabolism; Two-component system
K00028	E1.1.1.39	malate dehydrogenase (decarboxylating)	M00171	C4-dicarboxylic acid cycle, NAD - malic enzyme type	map00620; map00710; map01100; map01120; map01200	Pyruvate metabolism; Carbon fixation in photosynthetic organisms; Metabolic pathways; Microbial metabolism in diverse environments; Carbon metabolism
K00029	E1.1.1.40, maeB	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)	M00169; M00172	CAM (Crassulacean acid metabolism), light; C4-dicarboxylic acid cycle, NADP - malic enzyme type	map00620; map00710; map01100; map01120; map01200; map03320	Pyruvate metabolism; Carbon fixation in photosynthetic organisms; Metabolic pathways; Microbial metabolism in diverse environments; Carbon metabolism; PPAR signaling pathway
K00030	IDH3	isocitrate dehydrogenase (NAD+)	M00009; M00010	Citrate cycle (TCA cycle, Krebs cycle); Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	map00020; map01100; map01110; map01120; map01200; map01210; map01230	Citrate cycle (TCA cycle); Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism; 2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids
K00031	IDH1, IDH2, icd	isocitrate dehydrogenase	M00009; M00010; M00173; M00740	Citrate cycle (TCA cycle, Krebs cycle); Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate; Reductive citrate cycle (Arnon-Buchanan cycle); Methylaspartate cycle	map00020; map00480; map00720; map01100; map01110; map01120; map01200; map01210; map01230; map04146; map05230	Citrate cycle (TCA cycle); Glutathione metabolism; Carbon fixation pathways in prokaryotes; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism; 2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids; Peroxisome; Central carbon metabolism in cancer
K00033	PGD, gnd, gntZ	6-phosphogluconate dehydrogenase	M00004; M00006	Pentose phosphate pathway (Pentose phosphate cycle); Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	map00030; map00480; map01100; map01110; map01120; map01200	Pentose phosphate pathway; Glutathione metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism
K00034	gdh	glucose 1-dehydrogenase			map00030; map01100; map01120; map01200	Pentose phosphate pathway; Metabolic pathways; Microbial metabolism in diverse environments; Carbon metabolism
K00035	gal	D-galactose 1-dehydrogenase			map00052; map01100	Galactose metabolism; Metabolic pathways
K00036	G6PD, zwf	glucose-6-phosphate 1-dehydrogenase	M00004; M00006; M00008	Pentose phosphate pathway (Pentose phosphate cycle); Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P; Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	map00030; map00480; map01100; map01110; map01120; map01200; map05230; map05415	Pentose phosphate pathway; Glutathione metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism; Central carbon metabolism in cancer; Diabetic cardiomyopathy
K00038	E1.1.1.53	3alpha(or 20beta)-hydroxysteroid dehydrogenase			map00140; map01100	Steroid hormone biosynthesis; Metabolic pathways
K00039	rbtD	ribitol 2-dehydrogenase			map00040; map01100	Pentose and glucuronate interconversions; Metabolic pathways
K00040	uxuB	fructuronate reductase	M00061	D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P	map00040; map01100	Pentose and glucuronate interconversions; Metabolic pathways
K00041	uxaB	tagaturonate reductase	M00631	D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P	map00040; map01100	Pentose and glucuronate interconversions; Metabolic pathways
K00042	garR, glxR	2-hydroxy-3-oxopropionate reductase			map00630; map01100	Glyoxylate and dicarboxylate metabolism; Metabolic pathways
K00043	gbd	4-hydroxybutyrate dehydrogenase			map00650; map01100; map01200	Butanoate metabolism; Metabolic pathways; Carbon metabolism
K00045	E1.1.1.67, mtlK	mannitol 2-dehydrogenase			map00051; map01100	Fructose and mannose metabolism; Metabolic pathways
K00046	idnO	gluconate 5-dehydrogenase				
K00049	GRHPR	glyoxylate/hydroxypyruvate reductase			map00260; map00620; map00630; map01100; map01110; map01120	Glycine, serine and threonine metabolism; Pyruvate metabolism; Glyoxylate and dicarboxylate metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments
K00050	Not found at KEGG	Not found at KEGG	Not found at KEGG	Not found at KEGG	Not found at KEGG	Not found at KEGG
K00051	E1.1.1.82	malate dehydrogenase (NADP+)	M00172	C4-dicarboxylic acid cycle, NADP - malic enzyme type	map00620; map00710; map01100; map01120; map01200	Pyruvate metabolism; Carbon fixation in photosynthetic organisms; Metabolic pathways; Microbial metabolism in diverse environments; Carbon metabolism
K00052	leuB, IMDH	3-isopropylmalate dehydrogenase	M00432; M00535	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate; Isoleucine biosynthesis, pyruvate => 2-oxobutanoate	map00290; map00660; map01100; map01110; map01210; map01230	Valine, leucine and isoleucine biosynthesis; C5-Branched dibasic acid metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; 2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids
K00053	ilvC	ketol-acid reductoisomerase	M00019; M00570	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine; Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine	map00290; map00770; map01100; map01110; map01210; map01230	Valine, leucine and isoleucine biosynthesis; Pantothenate and CoA biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites; 2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids
K00054	mvaA	hydroxymethylglutaryl-CoA reductase	M00849	C5 isoprenoid biosynthesis, mevalonate pathway, archaea	map00900; map01110	Terpenoid backbone biosynthesis; Biosynthesis of secondary metabolites
K00055	E1.1.1.90	aryl-alcohol dehydrogenase	M00537; M00538	Xylene degradation, xylene => methylbenzoate; Toluene degradation, toluene => benzoate	map00350; map00360; map00622; map00623; map01100; map01120; map01220	Tyrosine metabolism; Phenylalanine metabolism; Xylene degradation; Toluene degradation; Metabolic pathways; Microbial metabolism in diverse environments; Degradation of aromatic compounds
K00057	gpsA	glycerol-3-phosphate dehydrogenase (NAD(P)+)			map00564; map01110	Glycerophospholipid metabolism; Biosynthesis of secondary metabolites
K00058	serA, PHGDH	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase	M00020	Serine biosynthesis, glycerate-3P => serine	map00260; map00270; map00680; map01100; map01110; map01120; map01200; map01230	Glycine, serine and threonine metabolism; Cysteine and methionine metabolism; Methane metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism; Biosynthesis of amino acids
K00059	fabG, OAR1	3-oxoacyl-[acyl-carrier protein] reductase	M00083; M00572; M00874	Fatty acid biosynthesis, elongation; Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP; Fatty acid biosynthesis in mitochondria, fungi	map00061; map00333; map00780; map01100; map01110; map01212; map01240	Fatty acid biosynthesis; Prodigiosin biosynthesis; Biotin metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Fatty acid metabolism; Biosynthesis of cofactors
K00060	tdh	threonine 3-dehydrogenase			map00260; map01100	Glycine, serine and threonine metabolism; Metabolic pathways
K00064	E1.1.1.122	D-threo-aldose 1-dehydrogenase			map00051; map00053; map01100; map01110; map01120	Fructose and mannose metabolism; Ascorbate and aldarate metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments
K00065	kduD	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase			map00040; map01100	Pentose and glucuronate interconversions; Metabolic pathways
K00066	algD	GDP-mannose 6-dehydrogenase			map00051; map00520; map01100; map02020	Fructose and mannose metabolism; Amino sugar and nucleotide sugar metabolism; Metabolic pathways; Two-component system
K00067	rfbD, rmlD	dTDP-4-dehydrorhamnose reductase	M00793	dTDP-L-rhamnose biosynthesis	map00521; map00523; map00541; map01100; map01110	Streptomycin biosynthesis; Polyketide sugar unit biosynthesis; O-Antigen nucleotide sugar biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites
K00068	srlD	sorbitol-6-phosphate 2-dehydrogenase			map00051; map01100	Fructose and mannose metabolism; Metabolic pathways
K00069	HPGD	15-hydroxyprostaglandin dehydrogenase (NAD)			map05202	Transcriptional misregulation in cancer
K00072	SPR	sepiapterin reductase	M00842	Tetrahydrobiopterin biosynthesis, GTP => BH4	map00790; map01100; map01240	Folate biosynthesis; Metabolic pathways; Biosynthesis of cofactors
K00073	allD	ureidoglycolate dehydrogenase (NAD+)			map00230; map01100; map01120	Purine metabolism; Metabolic pathways; Microbial metabolism in diverse environments
K00074	paaH, hbd, fadB, mmgB	3-hydroxybutyryl-CoA dehydrogenase	M00878	Phenylacetate degradation, phenylaxetate => acetyl-CoA/succinyl-CoA	map00360; map00362; map00650; map01100; map01120; map01200	Phenylalanine metabolism; Benzoate degradation; Butanoate metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Carbon metabolism
K00075	murB	UDP-N-acetylmuramate dehydrogenase			map00520; map00550; map01100	Amino sugar and nucleotide sugar metabolism; Peptidoglycan biosynthesis; Metabolic pathways
K00076	hdhA	7-alpha-hydroxysteroid dehydrogenase			map00121	Secondary bile acid biosynthesis
K00077	panE, apbA	2-dehydropantoate 2-reductase	M00119; M00913; M00914	Pantothenate biosynthesis, valine/L-aspartate => pantothenate; Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate; Coenzyme A biosynthesis, archaea, 2-oxoisovalerate => 4-phosphopantoate => CoA	map00770; map01100; map01110; map01240	Pantothenate and CoA biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites; Biosynthesis of cofactors
K00078	DHDH	dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP)			map00040; map00980; map01100	Pentose and glucuronate interconversions; Metabolism of xenobiotics by cytochrome P450; Metabolic pathways
K00079	CBR1	carbonyl reductase 1			map00590; map00790; map00980; map01100; map05204; map05208	Arachidonic acid metabolism; Folate biosynthesis; Metabolism of xenobiotics by cytochrome P450; Metabolic pathways; Chemical carcinogenesis - DNA adducts; Chemical carcinogenesis - reactive oxygen species
K00082	ribD2	5-amino-6-(5-phosphoribosylamino)uracil reductase	M00125	Riboflavin biosynthesis, plants and bacteria, GTP => riboflavin/FMN/FAD	map00740; map01100; map01110; map01240	Riboflavin metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Biosynthesis of cofactors
K00087	ygeS, xdhA	xanthine dehydrogenase molybdenum-binding subunit	M00546	Purine degradation, xanthine => urea	map00230; map01100; map01120	Purine metabolism; Metabolic pathways; Microbial metabolism in diverse environments
K00088	IMPDH, guaB	IMP dehydrogenase	M00050	Guanine ribonucleotide biosynthesis, IMP => GDP,GTP	map00230; map00983; map01100; map01110	Purine metabolism; Drug metabolism - other enzymes; Metabolic pathways; Biosynthesis of secondary metabolites
K00091	E1.1.1.219	dihydroflavonol-4-reductase				
K00093	mdh	methanol dehydrogenase			map00680; map01100; map01120	Methane metabolism; Metabolic pathways; Microbial metabolism in diverse environments
K00095	MTD	mannitol dehydrogenase				
K00096	araM, egsA	glycerol-1-phosphate dehydrogenase [NAD(P)+]			map00564	Glycerophospholipid metabolism
K00097	pdxA	4-hydroxythreonine-4-phosphate dehydrogenase	M00124	Pyridoxal-P biosynthesis, erythrose-4P => pyridoxal-P	map00750; map01100; map01240	Vitamin B6 metabolism; Metabolic pathways; Biosynthesis of cofactors
K00098	idnD	L-idonate 5-dehydrogenase				
K00099	dxr	1-deoxy-D-xylulose-5-phosphate reductoisomerase	M00096	C5 isoprenoid biosynthesis, non-mevalonate pathway	map00900; map01100; map01110	Terpenoid backbone biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites
K00100	bdhAB	butanol dehydrogenase			map00650; map01100; map01120	Butanoate metabolism; Metabolic pathways; Microbial metabolism in diverse environments
K00101	lldD	L-lactate dehydrogenase (cytochrome)			map00620; map01100	Pyruvate metabolism; Metabolic pathways
K00102	LDHD, dld	D-lactate dehydrogenase (cytochrome)			map00620; map01100	Pyruvate metabolism; Metabolic pathways
K00104	glcD	glycolate oxidase			map00630; map01100; map01110; map01120	Glyoxylate and dicarboxylate metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments
K00106	XDH	xanthine dehydrogenase/oxidase	M00546	Purine degradation, xanthine => urea	map00230; map00232; map00983; map01100; map01110; map01120; map04146	Purine metabolism; Caffeine metabolism; Drug metabolism - other enzymes; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Peroxisome
K00108	betA, CHDH	choline dehydrogenase	M00555	Betaine biosynthesis, choline => betaine	map00260; map01100	Glycine, serine and threonine metabolism; Metabolic pathways
K00109	L2HGDH	2-hydroxyglutarate dehydrogenase			map00650; map01100	Butanoate metabolism; Metabolic pathways
K00111	glpA, glpD	glycerol-3-phosphate dehydrogenase			map00564; map01110	Glycerophospholipid metabolism; Biosynthesis of secondary metabolites
K00112	glpB	glycerol-3-phosphate dehydrogenase subunit B			map00564; map01110	Glycerophospholipid metabolism; Biosynthesis of secondary metabolites
K00113	glpC	glycerol-3-phosphate dehydrogenase subunit C			map00564; map01110	Glycerophospholipid metabolism; Biosynthesis of secondary metabolites
K00114	exaA	alcohol dehydrogenase (cytochrome c)			map00010; map00620; map00625; map01100; map01110; map01120	Glycolysis / Gluconeogenesis; Pyruvate metabolism; Chloroalkane and chloroalkene degradation; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments
K00116	mqo	malate dehydrogenase (quinone)	M00009; M00011	Citrate cycle (TCA cycle, Krebs cycle); Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	map00020; map00620; map01100; map01110; map01120; map01200	Citrate cycle (TCA cycle); Pyruvate metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism
K00118	gfo	glucose-fructose oxidoreductase				
K00121	frmA, ADH5, adhC	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase			map00010; map00071; map00350; map00620; map00625; map00626; map00680; map00830; map00980; map00982; map01100; map01110; map01120; map01200; map01220	Glycolysis / Gluconeogenesis; Fatty acid degradation; Tyrosine metabolism; Pyruvate metabolism; Chloroalkane and chloroalkene degradation; Naphthalene degradation; Methane metabolism; Retinol metabolism; Metabolism of xenobiotics by cytochrome P450; Drug metabolism - cytochrome P450; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism; Degradation of aromatic compounds
K00122	FDH	formate dehydrogenase			map00630; map00680; map01100; map01120; map01200	Glyoxylate and dicarboxylate metabolism; Methane metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Carbon metabolism
K00123	fdoG, fdhF, fdwA	formate dehydrogenase major subunit			map00630; map00680; map01100; map01120; map01200	Glyoxylate and dicarboxylate metabolism; Methane metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Carbon metabolism
K00124	fdoH, fdsB	formate dehydrogenase iron-sulfur subunit			map00630; map00680; map01100; map01120; map01200	Glyoxylate and dicarboxylate metabolism; Methane metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Carbon metabolism
K00125	fdhB	formate dehydrogenase (coenzyme F420) beta subunit	M00356; M00357; M00563; M00567	Methanogenesis, methanol => methane; Methanogenesis, acetate => methane; Methanogenesis, methylamine/dimethylamine/trimethylamine => methane; Methanogenesis, CO2 => methane	map00680; map01100; map01120; map01200	Methane metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Carbon metabolism
K00126	fdsD	formate dehydrogenase subunit delta			map00630; map00680; map01100; map01120; map01200	Glyoxylate and dicarboxylate metabolism; Methane metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Carbon metabolism
K00127	fdoI, fdsG	formate dehydrogenase subunit gamma			map00630; map00680; map01100; map01120; map01200	Glyoxylate and dicarboxylate metabolism; Methane metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Carbon metabolism
K00128	ALDH	aldehyde dehydrogenase (NAD+)	M00135; M00913	GABA biosynthesis, eukaryotes, putrescine => GABA; Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate	map00010; map00053; map00071; map00280; map00310; map00330; map00340; map00380; map00410; map00561; map00620; map00625; map00770; map00903; map00981; map01100; map01110; map01120; map01240	Glycolysis / Gluconeogenesis; Ascorbate and aldarate metabolism; Fatty acid degradation; Valine, leucine and isoleucine degradation; Lysine degradation; Arginine and proline metabolism; Histidine metabolism; Tryptophan metabolism; beta-Alanine metabolism; Glycerolipid metabolism; Pyruvate metabolism; Chloroalkane and chloroalkene degradation; Pantothenate and CoA biosynthesis; Limonene and pinene degradation; Insect hormone biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Biosynthesis of cofactors
K00130	betB, gbsA	betaine-aldehyde dehydrogenase	M00555	Betaine biosynthesis, choline => betaine	map00260; map01100	Glycine, serine and threonine metabolism; Metabolic pathways
K00131	gapN	glyceraldehyde-3-phosphate dehydrogenase (NADP+)	M00308; M00633	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P; Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P	map00010; map00030; map01100; map01120; map01200	Glycolysis / Gluconeogenesis; Pentose phosphate pathway; Metabolic pathways; Microbial metabolism in diverse environments; Carbon metabolism
K00132	E1.2.1.10	acetaldehyde dehydrogenase (acetylating)			map00620; map00650; map01100; map01120	Pyruvate metabolism; Butanoate metabolism; Metabolic pathways; Microbial metabolism in diverse environments
K00133	asd	aspartate-semialdehyde dehydrogenase	M00016; M00017; M00018; M00033; M00525; M00526; M00527	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine; Methionine biosynthesis, aspartate => homoserine => methionine; Threonine biosynthesis, aspartate => homoserine => threonine; Ectoine biosynthesis, aspartate => ectoine; Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine; Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine; Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine	map00260; map00261; map00270; map00300; map01100; map01110; map01120; map01210; map01230	Glycine, serine and threonine metabolism; Monobactam biosynthesis; Cysteine and methionine metabolism; Lysine biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; 2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids
K00134	GAPDH, gapA	glyceraldehyde 3-phosphate dehydrogenase (phosphorylating)	M00001; M00002; M00003; M00165; M00166; M00308; M00552	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate; Glycolysis, core module involving three-carbon compounds; Gluconeogenesis, oxaloacetate => fructose-6P; Reductive pentose phosphate cycle (Calvin cycle); Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P; Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P; D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P	map00010; map00710; map01100; map01110; map01120; map01200; map01230; map04066; map05010; map05130; map05132; map05415	Glycolysis / Gluconeogenesis; Carbon fixation in photosynthetic organisms; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism; Biosynthesis of amino acids; HIF-1 signaling pathway; Alzheimer disease; Pathogenic Escherichia coli infection; Salmonella infection; Diabetic cardiomyopathy
K00135	gabD	succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase	M00027	GABA (gamma-Aminobutyrate) shunt	map00250; map00310; map00350; map00650; map00760; map01100; map01120	Alanine, aspartate and glutamate metabolism; Lysine degradation; Tyrosine metabolism; Butanoate metabolism; Nicotinate and nicotinamide metabolism; Metabolic pathways; Microbial metabolism in diverse environments
K00137	prr	aminobutyraldehyde dehydrogenase			map00310; map00330; map00410; map01100; map01120	Lysine degradation; Arginine and proline metabolism; beta-Alanine metabolism; Metabolic pathways; Microbial metabolism in diverse environments
K00138	aldB	aldehyde dehydrogenase			map00010; map00620; map01100; map01110; map01120	Glycolysis / Gluconeogenesis; Pyruvate metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments
